pole_id,bus,feeder,bus_type,phase_count,phase_type,pole_height_ft,pole_height_m,longitude,latitude,depth_in_tree,parent_bus,parent_pole_id,span_ft_to_parent,span_m_to_parent,spacing_template
P0589,l3122849,S2,l,3,3-phase,40,12.19,-119.2101758,46.62116826,8,l2691954,P0584,210.7,64.22,3ph_h-397_acsr397_acsr397_acsr2/0_acsr_ABC
P0590,n1137960,S2,n,3,3-phase,40,12.19,-119.1990556,46.62934464,9,m1047309,P0586,82.5,25.15,3ph_h-397_acsr397_acsr397_acsr2/0_acsr_ABC
P0591,m1026357,S2,m,3,3-phase,40,12.19,-119.211294,46.62041678,9,l3122849,P0589,275.5,83.97,3ph_h-397_acsr397_acsr397_acsr2/0_acsr_ABC
P0592,m1047312,S2,m,3,3-phase,40,12.19,-119.1988625,46.62948978,10,n1137960,P0590,49.8,15.18,3ph_h-397_acsr397_acsr397_acsr2/0_acsr_ABC
P0593,l3178997,S2,l,1,1-phase,35,10.67,-119.2114542,46.62124214,10,m1026357,P0591,192.0,58.52,1ph-xx4_acsr4_acsr_C
P0594,m1026356,S2,m,3,3-phase,40,12.19,-119.2116994,46.6201627,10,m1026357,P0591,97.1,29.6,3ph_h-397_acsr397_acsr397_acsr2/0_acsr_ABC
P0595,l3216370,S2,l,3,3-phase,40,12.19,-119.1975889,46.63046434,11,m1047312,P0592,331.0,100.89,3ph_h-397_acsr397_acsr397_acsr2/0_acsr_ABC
P0596,p893163,S2,p,1,1-phase,35,10.67,-119.1989089,46.62953464,11,m1047312,P0592,13.6,4.15,1ph-4_wpalxx4_acsr_A
P0597,m1026363,S2,m,1,1-phase,35,10.67,-119.2116994,46.62166624,11,l3178997,P0593,108.1,32.95,1ph-xx4_acsr4_acsr_C
P0598,m1026354,S2,m,3,3-phase,40,12.19,-119.2122403,46.61984188,11,m1026356,P0594,127.1,38.74,3ph_h-397_acsr397_acsr397_acsr2/0_acsr_ABC
P0599,m1047316,S2,m,3,3-phase,40,12.19,-119.1974141,46.63061544,12,l3216370,P0595,48.2,14.69,3ph_h-397_acsr397_acsr397_acsr2/0_acsr_ABC
P0600,m1047314,S2,m,1,1-phase,35,10.67,-119.1989528,46.62957716,12,p893163,P0596,12.9,3.93,1ph-4_wpalxx4_acsr_A
P0601,l2897779,S2,l,1,1-phase,35,10.67,-119.2123639,46.62281774,12,m1026363,P0597,293.4,89.43,1ph-xx4_acsr4_acsr_C
P0602,l3235275,S2,l,3,3-phase,40,12.19,-119.2132006,46.61919974,12,m1026354,P0598,235.7,71.84,3ph_h-397_acsr397_acsr397_acsr2/0_acsr_ABC
P0603,m2000100,S2,m,3,3-phase,40,12.19,-119.2116994,46.61899496,12,m1026354,P0598,504.8,153.86,3ph_h-2/0_acsr2/0_acsr2/0_acsr2_acsr_ABC
P0604,l3235255,S2,l,3,3-phase,40,12.19,-119.1967897,46.63112954,13,m1047316,P0599,168.0,51.21,3ph_h-397_acsr397_acsr397_acsr2/0_acsr_ABC
P0605,l2785527,S2,l,1,1-phase,35,10.67,-119.1967207,46.62985886,13,m1047316,P0599,218.6,66.63,1ph-4_acsrxx4_acsr_A
P0606,l2766728,S2,l,1,1-phase,35,10.67,-119.1973997,46.63110702,13,m1047316,P0599,112.9,34.41,1ph-xx4_acsr4_acsr_C
P0607,n1137961,S2,n,1,1-phase,35,10.67,-119.1991693,46.62978598,13,m1047314,P0600,63.4,19.32,1ph-4_wpalxx4_acsr_A
P0608,m1047311,S2,m,1,1-phase,35,10.67,-119.1987828,46.62943276,13,m1047314,P0600,73.2,22.31,1ph-4_acsrxx4_acsr_A
P0609,l2804261,S2,l,1,1-phase,35,10.67,-119.2126832,46.6241717,13,l2897779,P0601,316.8,96.56,1ph-xx4_acsr4_acsr_C
P0610,m1026347,S2,m,3,3-phase,40,12.19,-119.2143685,46.61845116,13,l3235275,P0602,282.1,85.98,3ph_h-397_acsr397_acsr397_acsr2/0_acsr_ABC
P0611,l2897780,S2,l,3,3-phase,40,12.19,-119.1962708,46.6315772,14,l3235255,P0604,143.0,43.59,3ph_h-397_acsr397_acsr397_acsr2/0_acsr_ABC
P0612,l2766729,S2,l,1,1-phase,35,10.67,-119.1959581,46.62904448,14,l2785527,P0605,237.2,72.3,1ph-4_acsrxx4_acsr_A
P0613,l3104133,S2,l,1,1-phase,35,10.67,-119.2005499,46.63111708,14,n1137961,P0607,404.1,123.17,1ph-4_wpalxx4_acsr_A
P0614,l2748158,S2,l,1,1-phase,35,10.67,-119.198646,46.62933492,14,m1047311,P0608,34.5,10.52,1ph-4_acsrxx4_acsr_A
P0615,l3178980,S2,l,1,1-phase,35,10.67,-119.2126429,46.6255612,14,l2804261,P0609,319.1,97.26,1ph-xx4_acsr4_acsr_C
P0616,m1026341,S2,m,3,3-phase,40,12.19,-119.2149685,46.6179223,14,m1026347,P0610,167.2,50.96,3ph_h-397_acsr397_acsr397_acsr2/0_acsr_ABC
P0617,n1145956,S2,n,1,1-phase,35,10.67,-119.2142188,46.6183779,14,m1026347,P0610,33.2,10.12,1ph-2_acsrxx2_acsr_A
P0618,m2000200,S2,m,3,3-phase,40,12.19,-119.2096106,46.61725258,14,d2000100_int,,175.8,53.58,3ph_h-2/0_acsr2/0_acsr2/0_acsr2_acsr_ABC
P0619,m1047324,S2,m,3,3-phase,40,12.19,-119.1951319,46.63249838,15,l2897780,P0611,303.8,92.6,3ph_h-397_acsr397_acsr397_acsr2/0_acsr_ABC
P0620,m1047323,S2,m,1,1-phase,35,10.67,-119.2019777,46.63249838,15,l3104133,P0613,418.7,127.62,1ph-4_wpalxx4_acsr_A
P0621,l2973162,S2,l,3,3-phase,40,12.19,-119.2158272,46.61725362,15,m1026341,P0616,225.0,68.58,3ph_h-397_acsr397_acsr397_acsr2/0_acsr_ABC
P0622,p827531,S2,p,1,1-phase,35,10.67,-119.2149904,46.61805446,15,m1026341,P0616,30.6,9.33,1ph-4_wpalxx4_acsr_A
P0623,l2729412,S2,l,1,1-phase,35,10.67,-119.2136391,46.61809428,15,n1145956,P0617,128.7,39.23,1ph-2_acsrxx2_acsr_A
P0624,m2000300,S2,m,3,3-phase,40,12.19,-119.2085663,46.61638138,15,m2000200,P0618,463.9,141.4,3ph_h-2/0_acsr2/0_acsr2/0_acsr2_acsr_ABC
P0625,m1047325,S2,m,3,3-phase,40,12.19,-119.1950207,46.63259122,16,m1047324,P0619,30.1,9.17,3ph_h-397_acsr397_acsr397_acsr2/0_acsr_ABC
P0626,l3010569,S2,l,1,1-phase,35,10.67,-119.2024266,46.6329325,16,m1047323,P0620,131.6,40.11,1ph-4_wpalxx4_acsr_A
P0627,m1026333,S2,m,3,3-phase,40,12.19,-119.2164911,46.61673378,16,l2973162,P0621,174.4,53.16,3ph_h-397_acsr397_acsr397_acsr2/0_acsr_ABC
P0628,m1026343,S2,m,1,1-phase,35,10.67,-119.2150037,46.61814246,16,p827531,P0622,20.4,6.22,1ph-4_wpalxx4_acsr_A
P0629,m2000400,S2,m,3,3-phase,40,12.19,-119.2075219,46.6155102,16,m2000300,P0624,473.3,144.26,3ph_h-2/0_acsr2/0_acsr2/0_acsr2_acsr_ABC
P0630,p827532,S2,p,1,1-phase,35,10.67,-119.1950998,46.632712,17,m1047325,P0625,31.6,9.63,1ph-2_acsrxx2_acsr_A
P0631,m1047335,S2,m,1,1-phase,35,10.67,-119.202975,46.6335317,17,l3010569,P0626,173.1,52.76,1ph-4_wpalxx1/0_tpx_A
P0632,n1145955,S2,n,1,1-phase,35,10.67,-119.2162568,46.61675674,17,m1026333,P0627,45.2,13.78,1ph-2_acsrxx2_acsr_A
P0633,m1026331,S2,m,3,3-phase,40,12.19,-119.2170647,46.6162805,17,m1026333,P0627,151.3,46.12,3ph_h-397_acsr397_acsr397_acsr2/0_acsr_ABC
P0634,m1026344,S2,m,1,1-phase,35,10.67,-119.2150238,46.61827592,17,m1026343,P0628,30.9,9.42,1ph-4_wpalxx4_acsr_A
P0635,l2748135,S2,l,1,1-phase,35,10.67,-119.2149735,46.61760754,17,m1026343,P0628,174.1,53.07,1ph-2_acsrxx2_acsr_A
P0636,m2000500,S2,m,3,3-phase,40,12.19,-119.2064775,46.61463902,17,m2000400,P0629,503.9,153.59,3ph_h-2/0_acsr2/0_acsr2/0_acsr2_acsr_ABC
P0637,m2000401,S2,m,1,1-phase,35,10.67,-119.2080441,46.6150746,17,m2000400,P0629,158.2,48.22,1ph-x2_acsrx2_acsr_A
P0638,m1047326,S2,m,1,1-phase,35,10.67,-119.1951597,46.63280348,18,p827532,P0630,23.9,7.28,1ph-2_acsrxx2_acsr_A
P0639,l2710519,S2,l,1,1-phase,35,10.67,-119.2037103,46.63458572,18,m1047335,P0631,280.0,85.34,1ph-4_acsrxx4_acsr_A
P0640,l2954354,S2,l,1,1-phase,35,10.67,-119.2021969,46.63407864,18,m1047335,P0631,194.9,59.41,1ph-4_acsrxx4_wpal_A
P0641,m1026335,S2,m,1,1-phase,35,10.67,-119.2160248,46.61677944,18,n1145955,P0632,44.7,13.62,1ph-2_acsrxx2_acsr_A
P0642,m1026330,S2,m,3,3-phase,40,12.19,-119.2177707,46.6157226,18,m1026331,P0633,186.2,56.75,3ph_h-397_acsr397_acsr397_acsr2/0_acsr_ABC
P0643,l3214055,S2,l,1,1-phase,35,10.67,-119.2176003,46.61702838,18,m1026331,P0633,200.0,60.96,1ph-xx4_acsr4_acsr_C
P0644,m1026364,S2,m,1,1-phase,35,10.67,-119.2171723,46.62176864,18,m1026344,P0634,966.7,294.65,1ph-2_acsrxx2_acsr_A
P0645,l2991919,S2,l,1,1-phase,35,10.67,-119.215092,46.62012084,18,m1026344,P0634,423.7,129.14,1ph-4_wpalxx4_acsr_A
P0646,m2000600,S2,m,3,3-phase,40,12.19,-119.2054332,46.61376782,18,m2000500,P0636,487.1,148.47,3ph_h-2/0_acsr2/0_acsr2/0_acsr2_acsr_ABC
P0647,m1047322,S2,m,1,1-phase,35,10.67,-119.1950562,46.6323526,19,m1047326,P0638,127.8,38.95,1ph-2_acsrxx2_acsr_A
P0648,m1047338,S2,m,1,1-phase,35,10.67,-119.1960002,46.63408678,19,m1047326,P0638,335.7,102.32,1ph-2_acsrxx2_acsr_A
P0649,l2860491,S2,l,3,3-phase,40,12.19,-119.1942248,46.63330654,19,d5926308-3_int,,112.7,34.35,3ph_h-397_acsr397_acsr397_acsr2/0_acsr_ABC
P0650,m1047344,S2,m,1,1-phase,35,10.67,-119.2042954,46.63510098,19,l2710519,P0639,162.9,49.65,1ph-4_acsrxx4_acsr_A
P0651,l2673321,S2,l,1,1-phase,35,10.67,-119.2023372,46.63489538,19,l2954354,P0640,189.4,57.73,1ph-4_wpalxx4_acsr_A
P0652,l2804259,S2,l,1,1-phase,35,10.67,-119.2152273,46.61603452,19,m1026335,P0641,229.3,69.89,1ph-2_acsrxx2_acsr_A
P0653,l2766726,S2,l,1,1-phase,35,10.67,-119.2172608,46.61578524,19,m1026330,P0642,98.7,30.08,1ph-x4_wpalx4_wpal_B
P0654,m1026329,S2,m,3,3-phase,40,12.19,-119.2182153,46.6153648,19,m1026330,P0642,118.3,36.06,3ph_h-397_acsr397_acsr397_acsr2/0_acsr_ABC
P0655,l2785526,S2,l,1,1-phase,35,10.67,-119.2187176,46.61705804,19,m1026330,P0642,356.2,108.57,1ph-x4_acsrx4_acsr_B
P0656,l3010570,S2,l,1,1-phase,35,10.67,-119.2180029,46.62226798,19,m1026364,P0644,196.1,59.77,1ph-2_acsrxx2_acsr_A
P0657,m1026361,S2,m,1,1-phase,35,10.67,-119.2151079,46.62133968,19,l2991919,P0645,279.8,85.28,1ph-4_wpalxx4_acsr_A
P0658,m2000700,S2,m,3,3-phase,40,12.19,-119.2043888,46.61289664,19,m2000600,P0646,372.3,113.48,3ph_h-2/0_acsr2/0_acsr2/0_acsr2_acsr_ABC
P0659,m2000402,S2,m,1,1-phase,35,10.67,-119.2090884,46.61420342,19,d2000401_int,,158.2,48.22,1ph-x2_acsrx2_acsr_A
P0660,l3048211,S2,l,1,1-phase,35,10.67,-119.1948804,46.6313002,20,m1047322,P0647,243.9,74.34,1ph-2_acsrxx2_acsr_A
P0661,l2691953,S2,l,1,1-phase,35,10.67,-119.1972356,46.63598484,20,m1047338,P0648,495.8,151.12,1ph-2_acsrxx2_acsr_A
P0662,m1047339,S2,m,3,3-phase,40,12.19,-119.1932303,46.6341519,20,l2860491,P0649,271.9,82.88,3ph_h-397_acsr397_acsr397_acsr2/0_acsr_ABC
P0663,l3029499,S2,l,1,1-phase,35,10.67,-119.2052569,46.63581792,20,m1047344,P0650,247.0,75.29,1ph-4_acsrxx4_acsr_A
P0664,l3066819,S2,l,1,1-phase,35,10.67,-119.2051613,46.63474502,20,m1047344,P0650,184.9,56.36,1ph-4_acsrxx4_acsr_A
P0665,l2897772,S2,l,1,1-phase,35,10.67,-119.2044641,46.63610598,20,m1047344,P0650,233.0,71.02,1ph-4_acsrxx4_acsr_A
P0666,m1026328,S2,m,3,3-phase,40,12.19,-119.2186373,46.61502638,20,m1026329,P0654,112.1,34.17,3ph_h-397_acsr397_acsr397_acsr2/0_acsr_ABC
P0667,l3104135,S2,l,1,1-phase,35,10.67,-119.2170499,46.61449666,20,m1026329,P0654,299.2,91.2,1ph-2_acsrxx2_acsr_A
P0668,l3122825,S2,l,1,1-phase,35,10.67,-119.2148347,46.6214727,20,m1026361,P0657,60.6,18.47,1ph-2_acsrxx1/0_tpx_A
P0669,m1026366,S2,m,1,1-phase,35,10.67,-119.2151419,46.62233914,20,m1026361,P0657,229.5,69.95,1ph-4_wpalxx4_acsr_A
P0670,m2000800,S2,m,3,3-phase,40,12.19,-119.2033444,46.61202544,20,m2000700,P0658,467.5,142.49,3ph_h-2/0_acsr2/0_acsr2/0_acsr2_acsr_ABC
P0671,m2000701,S2,m,1,1-phase,35,10.67,-119.204911,46.61246104,20,m2000700,P0658,158.2,48.22,1ph-x2_acsrx2_acsr_B
P0672,m2000403,S2,m,1,1-phase,35,10.67,-119.2096106,46.61376782,20,m2000402,P0659,158.2,48.22,1ph-x2_acsrx2_acsr_A
P0673,p895104,S2,p,1,1-phase,35,10.67,-119.1932691,46.63425772,21,m1047339,P0662,25.4,7.74,1ph-4_wpalxx2_wpal_A
P0674,l2991922,S2,l,3,3-phase,40,12.19,-119.1922837,46.63481618,21,m1047339,P0662,236.9,72.21,3ph_h-397_acsr397_acsr397_acsr2/0_acsr_ABC
P0675,l3101814,S2,l,1,1-phase,35,10.67,-119.2047466,46.63687746,21,l2897772,P0665,185.2,56.45,1ph-4_acsrxx4_acsr_A
P0676,l2991920,S2,l,1,1-phase,35,10.67,-119.2138158,46.62128758,21,l3122825,P0668,199.7,60.87,1ph-2_acsrxx2_acsr_A
P0677,l3122824,S2,l,1,1-phase,35,10.67,-119.2162003,46.6224784,21,m1026366,P0669,205.2,62.54,1ph-4_acsrxx4_acsr_A
P0678,l3104131,S2,l,1,1-phase,35,10.67,-119.2151023,46.6236772,21,m1026366,P0669,307.3,93.67,1ph-4_wpalxx4_acsr_A
P0679,l2860489,S2,l,1,1-phase,35,10.67,-119.2141168,46.6222955,21,m1026366,P0669,196.6,59.92,1ph-4_acsrxx4_acsr_A
P0680,m2000900,S2,m,3,3-phase,40,12.19,-119.2023001,46.61115426,21,m2000800,P0670,624.8,190.44,3ph_h-2/0_acsr2/0_acsr2/0_acsr2_acsr_ABC
P0681,m2000404,S2,m,1,1-phase,35,10.67,-119.2101328,46.61333222,21,m2000403,P0672,158.2,48.22,1ph-x2_acsrx2_acsr_A
P0682,n1139537,S2,n,1,1-phase,35,10.67,-119.1933403,46.6344522,22,p895104,P0673,46.7,14.23,1ph-4_wpalxx2_wpal_A
P0683,m1047345,S2,m,3,3-phase,40,12.19,-119.1915627,46.63531398,22,l2991922,P0674,179.2,54.62,3ph_h-397_acsr397_acsr397_acsr2/0_acsr_ABC
P0684,e182731,S2,e,1,1-phase,35,10.67,-119.2186964,46.61498016,22,d6140778-1_int,,0.0,0.0,
P0685,m1026377,S2,m,1,1-phase,35,10.67,-119.2151004,46.62455066,22,l3104131,P0678,200.5,61.11,1ph-4_wpalxx4_acsr_A
P0686,m2000901,S2,m,1,1-phase,35,10.67,-119.2017779,46.61158984,22,m2000900,P0680,158.2,48.22,1ph-x2_acsrx2_acsr_C
P0687,m2001000,S2,m,3,3-phase,40,12.19,-119.2012557,46.61028306,22,m2000900,P0680,540.7,164.81,3ph_h-2/0_acsr2/0_acsr2/0_acsr2_acsr_ABC
P0688,m2000702,S2,m,1,1-phase,35,10.67,-119.2059553,46.61158984,22,d2000701_int,,158.2,48.22,1ph-x2_acsrx2_acsr_B
P0689,m2000405,S2,m,1,1-phase,35,10.67,-119.210655,46.61289664,22,m2000404,P0681,158.2,48.22,1ph-x2_acsrx2_acsr_A
P0690,l3122826,S2,l,1,1-phase,35,10.67,-119.1938641,46.63588304,23,n1139537,P0682,343.5,104.7,1ph-4_wpalxx2_wpal_A
P0691,m1047346,S2,m,3,3-phase,40,12.19,-119.1909888,46.63570258,23,m1047345,P0683,141.6,43.16,3ph_h-397_acsr397_acsr397_acsr2/0_acsr_ABC
P0692,m1047340,S2,m,1,1-phase,35,10.67,-119.1906737,46.63432014,23,m1047345,P0683,285.6,87.05,1ph-4_acsrxx4_acsr_A
P0693,m1026327,S2,m,1,1-phase,35,10.67,-119.219236,46.61455816,23,e182731,P0684,141.7,43.19,1ph-x4_acsrx4_acsr_B
P0694,l3048210,S2,l,1,1-phase,35,10.67,-119.2166374,46.62584042,23,m1026377,P0685,417.5,127.25,1ph-4_wpalxx4_acsr_A
P0695,m1026378,S2,m,1,1-phase,35,10.67,-119.2150706,46.62538012,23,m1026377,P0685,190.5,58.06,1ph-4_wpalxx4_acsr_A
P0696,m2001100,S2,m,3,3-phase,40,12.19,-119.2002113,46.60941188,23,m2001000,P0687,421.3,128.41,3ph_h-2/0_acsr2/0_acsr2/0_acsr2_acsr_ABC
P0697,m2001001,S2,m,1,1-phase,35,10.67,-119.2017779,46.60984748,23,m2001000,P0687,158.2,48.22,1ph-x2_acsrx2_acsr_B
P0698,m2000703,S2,m,1,1-phase,35,10.67,-119.2064775,46.61115426,23,m2000702,P0688,158.2,48.22,1ph-x2_acsrx2_acsr_B
P0699,m2000406,S2,m,1,1-phase,35,10.67,-119.2111772,46.61246104,23,m2000405,P0689,158.2,48.22,1ph-x2_acsrx2_acsr_A
P0700,m1047358,S2,m,1,1-phase,35,10.67,-119.1937282,46.63736032,24,l3122826,P0690,340.1,103.66,1ph-4_wpalxx4_wpal_A
P0701,l3104134,S2,l,3,3-phase,40,12.19,-119.1903949,46.63614532,24,m1047346,P0691,152.5,46.48,3ph_h-397_acsr397_acsr397_acsr2/0_acsr_ABC
P0702,l3254219,S2,l,1,1-phase,35,10.67,-119.1914379,46.6361518,24,m1047346,P0691,134.3,40.93,1ph-xx2_acsr1/0_tpx_C
P0703,m1047342,S2,m,1,1-phase,35,10.67,-119.1890615,46.6346944,24,m1047340,P0692,320.5,97.69,1ph-2_acsrxx2_acsr_A
P0704,l2991923,S2,l,1,1-phase,35,10.67,-119.1900494,46.63355444,24,m1047340,P0692,212.6,64.8,1ph-4_acsrxx4_acsr_A
P0705,l3197643,S2,l,1,1-phase,35,10.67,-119.2225319,46.61693756,24,m1026327,P0693,834.8,254.45,1ph-x4_acsrx4_acsr_B
P0706,l2841636,S2,l,1,1-phase,35,10.67,-119.2205164,46.61350964,24,m1026327,P0693,343.6,104.73,1ph-x4_acsrx4_acsr_B
P0707,l3122823,S2,l,1,1-phase,35,10.67,-119.2186863,46.6142583,24,m1026327,P0693,125.8,38.34,1ph-x4_wpalx4_acsr_B
P0708,l2897778,S2,l,1,1-phase,35,10.67,-119.2150205,46.62666156,24,m1026378,P0695,294.3,89.7,1ph-4_wpalxx4_acsr_A
P0709,m2000902,S2,m,1,1-phase,35,10.67,-119.2007335,46.61246104,24,d2000901_int,,158.2,48.22,1ph-x2_acsrx2_acsr_C
P0710,m2001200,S2,m,3,3-phase,40,12.19,-119.199167,46.60854068,24,m2001100,P0696,568.5,173.28,3ph_h-2/0_acsr2/0_acsr2/0_acsr2_acsr_ABC
P0711,m2000704,S2,m,1,1-phase,35,10.67,-119.2069997,46.61071866,24,m2000703,P0698,158.2,48.22,1ph-x2_acsrx2_acsr_B
P0712,m2000407,S2,m,1,1-phase,35,10.67,-119.2116994,46.61202544,24,m2000406,P0699,158.2,48.22,1ph-x2_acsrx2_acsr_A
P0713,l2729411,S2,l,1,1-phase,35,10.67,-119.1927986,46.63850484,25,m1047358,P0700,317.4,96.74,1ph-4_acsrxx4_acsr_A
P0714,l2897781,S2,l,1,1-phase,35,10.67,-119.1937849,46.63865926,25,m1047358,P0700,298.4,90.95,1ph-4_wpalxx4_wpal_A
P0715,l3197644,S2,l,1,1-phase,35,10.67,-119.1935397,46.6371126,25,m1047358,P0700,67.4,20.54,1ph-4_acsrxx4_acsr_A
P0716,l2860490,S2,l,3,3-phase,40,12.19,-119.1896728,46.63682132,25,l3104134,P0701,207.9,63.37,3ph_h-397_acsr397_acsr397_acsr2/0_acsr_ABC
P0717,l3254220,S2,l,1,1-phase,35,10.67,-119.191559,46.63706328,25,l3254219,P0702,210.5,64.16,1ph-xx2_acsr2_acsr_C
P0718,l3197645,S2,l,1,1-phase,35,10.67,-119.1886436,46.63370054,25,m1047342,P0703,241.8,73.7,1ph-2_acsrxx2_acsr_A
P0719,m1026339,S2,m,1,1-phase,35,10.67,-119.2229779,46.617385,25,l3197643,P0705,133.6,40.72,1ph-x4_acsrx4_acsr_B
P0720,m1026324,S2,m,1,1-phase,35,10.67,-119.2211438,46.6129871,25,l2841636,P0706,169.8,51.76,1ph-x4_wpalx4_acsr_B
P0721,m3037452,S2,m,1,1-phase,35,10.67,-119.2150194,46.6266899,25,l2897778,P0708,6.5,1.98,1ph-4_wpalxx4_acsr_A
P0722,m2000903,S2,m,1,1-phase,35,10.67,-119.2002113,46.61289664,25,m2000902,P0709,158.2,48.22,1ph-x2_acsrx2_acsr_C
P0723,m2001300,S2,m,3,3-phase,40,12.19,-119.1981226,46.6076695,25,m2001200,P0710,475.2,144.84,3ph_h-2/0_acsr2/0_acsr2/0_acsr2_acsr_ABC
P0724,m2001201,S2,m,1,1-phase,35,10.67,-119.1986448,46.60897628,25,m2001200,P0710,158.2,48.22,1ph-x2_acsrx2_acsr_C
P0725,m2001002,S2,m,1,1-phase,35,10.67,-119.2028222,46.60897628,25,d2001001_int,,158.2,48.22,1ph-x2_acsrx2_acsr_B
P0726,m2000705,S2,m,1,1-phase,35,10.67,-119.2075219,46.61028306,25,m2000704,P0711,158.2,48.22,1ph-x2_acsrx2_acsr_B
P0727,m2000408,S2,m,1,1-phase,35,10.67,-119.2122215,46.61158984,25,m2000407,P0712,158.2,48.22,1ph-x2_acsrx2_acsr_A
P0728,l3254218,S2,l,3,3-phase,40,12.19,-119.1888555,46.6375779,26,l2860490,P0716,233.8,71.26,3ph_h-397_acsr397_acsr397_acsr2/0_acsr_ABC
P0729,l2766727,S2,l,1,1-phase,35,10.67,-119.2233362,46.61837554,26,m1026339,P0719,237.5,72.39,1ph-x4_acsrx4_acsr_B
P0730,l3029507,S2,l,1,1-phase,35,10.67,-119.2216678,46.61801648,26,m1026339,P0719,289.8,88.33,1ph-x2_acsrx2_acsr_B
P0731,m1026323,S2,m,1,1-phase,35,10.67,-119.2218455,46.61244976,26,m1026324,P0720,182.4,55.6,1ph-x4_acsrx4_acsr_B
