switch_name,category,phases,phase_type,state,bus1,bus2,longitude,latitude,feeder
ln0774458_sw,Feeder Sectionalizing Switch,3,3-phase,CLOSE,m1026915,d5774457-1_int,-119.2349894,46.7277929,S3
ln0653469_sw,Feeder Sectionalizing Switch,1,1-phase,CLOSE,l3066818,d5653469-1_int,-119.188253,46.63929254,S2
ln05534967_sw,Feeder Sectionalizing Switch,3,3-phase,CLOSE,m1089174,d5534967-1_int,-119.1650827,46.69132792,S2
ln0504019_sw,Feeder Sectionalizing Switch,3,3-phase,CLOSE,m3032981,d6504019-6_int,-119.0910751,46.6797604,S1
ln0440002_sw,Feeder Sectionalizing Switch,1,1-phase,CLOSE,n1137999,d6440002-2_int,-119.2239454,46.7202572,S3
tsw10691069_sw,Feeder Sectionalizing Switch,3,3-phase,CLOSE,m1069230,m1069300,-119.1803684,46.66603918,S2
ln4625713_sw,Feeder Sectionalizing Switch,3,3-phase,CLOSE,d5502543-2_int,q14413,-119.2265816,46.72310206,S3
ln0409774-4_int,Feeder Sectionalizing Switch,1,1-phase,CLOSE,n1136027,d6409775-4_int,-119.1994669,46.73895752,S3
ln0895780_sw,Feeder Sectionalizing Switch,3,3-phase,CLOSE,n1140519,d5895780-3_int,-119.2053745,46.71009774,S3
ln4625680_sw,Feeder Sectionalizing Switch,3,3-phase,CLOSE,d5956499-2_int,q14411,-119.1800551,46.69108586,S2
ln0712587_sw,Feeder Sectionalizing Switch,1,1-phase,CLOSE,n1144667,d5712587-2_int,-119.2280021,46.76028468,S3
tsw30473047_sw,Feeder Sectionalizing Switch,3,3-phase,CLOSE,l3047059,l3047060,-119.233631,46.69348162,S3
ln3693186_sw,Feeder Sectionalizing Switch,3,3-phase,CLOSE,d5861005-2_int,q1301,-119.1176542,46.68324516,S1
tsw10891089_sw,Feeder Sectionalizing Switch,3,3-phase,CLOSE,l2990827,l2990828,-119.1584367,46.70088674,S1
ln0804798_sw,Feeder Sectionalizing Switch,1,1-phase,CLOSE,n1136030,d5804798-3_int,-119.1996405,46.73937544,S3
ln0141147_sw,Feeder Sectionalizing Switch,1,1-phase,CLOSE,d6141147-1_int,m1108317,-119.1423535,46.66660544,S2
ln0138609_sw,Feeder Sectionalizing Switch,3,3-phase,CLOSE,m1089112,d6138609-1_int,-119.1712257,46.65149384,S2
ln0746703_sw,Feeder Sectionalizing Switch,1,1-phase,CLOSE,p829957,d5746703-1_int,-119.0816759,46.68607652,S1
ln0077781_sw,Feeder Sectionalizing Switch,3,3-phase,CLOSE,d6077791-3_int,m1047522,-119.196295,46.71308338,S3
ln247171_sw,Feeder Sectionalizing Switch,1,1-phase,CLOSE,d6047588-1_int,f739844,-119.2115949,46.64950836,S2
ln5472335-1,Feeder Sectionalizing Switch,3,3-phase,CLOSE,d5472350-1_int,m1089120,-119.1653295,46.65379896,S2
ln247160_sw,Feeder Sectionalizing Switch,1,1-phase,CLOSE,d5865224-1_int,f739841,-119.208749,46.6480709,S2
ln0048634_sw,Feeder Sectionalizing Switch,3,3-phase,CLOSE,m1186072,d6048634-1_int,-119.0900308,46.68128498,S1
ln0017295_sw,Feeder Sectionalizing Switch,3,3-phase,CLOSE,l2973156,d6017295-1_int,-119.1839325,46.67773502,S2
ln0170302_sw,Feeder Sectionalizing Switch,3,3-phase,CLOSE,d6170302-1_int,l2879773,-119.1414136,46.66495018,S2
ln4625876_sw,Feeder Sectionalizing Switch,3,3-phase,CLOSE,d5835167-6_int,q14414,-119.2323256,46.69043246,S3
ln293471_sw,Feeder Sectionalizing Switch,3,3-phase,CLOSE,d5686080-1_int,f739845,-119.2028,46.62602,S2
